product_name,product_id,department_d,total_orders,total_reorders,reorder_rate
Organic Roasted Turkey Breast,22963,20,89,66,0.741573034
Total 2% All Natural Greek Strained Yogurt with Honey,18523,16,73,54,0.739726027
100% Whole Wheat Bread,5077,3,183,135,0.737704918
Organic Hothouse Cucumbers,36695,4,75,55,0.733333333
Large Alfresco Eggs,11520,16,127,93,0.732283465
Organic Raspberries,27966,4,429,313,0.72960373
2% Reduced Fat Milk,23909,16,122,89,0.729508197
Whipped Cream Cheese,42828,16,103,75,0.72815534
Clementines,6184,4,88,64,0.727272727
Watermelon Chunks,5212,4,91,66,0.725274725
Organic Raw Kombucha Gingerade,30776,7,76,55,0.723684211
Pure Sparkling Water,14947,7,101,73,0.722772277
Organic Peeled Whole Baby Carrots,43961,4,158,114,0.721518987
Organic Bartlett Pear,43122,4,117,84,0.717948718
Organic Fuji Apple,28204,4,278,198,0.712230216
Lime Sparkling Water,35221,7,159,113,0.710691824
Limes,26209,4,420,298,0.70952381
Original Hummus,30489,20,230,163,0.708695652
Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,7781,16,99,70,0.707070707
Organic Garlic,24964,4,331,233,0.703927492
Small Hass Avocado,5450,4,151,106,0.701986755
Organic D'Anjou Pears,22825,4,150,105,0.7
Honeycrisp Apple,45066,4,262,183,0.698473282
Unsweetened Vanilla Almond Milk,43295,16,89,62,0.696629213
Raspberries,43352,4,160,111,0.69375
Organic Small Bunch Celery,44359,4,205,142,0.692682927
Total Greek Strained Yogurt,39475,16,78,54,0.692307692
Total 0% Greek Yogurt,20842,16,78,54,0.692307692
Michigan Organic Kale,28985,4,200,138,0.69
Organic Yellow Onion,22935,4,363,250,0.688705234
Organic Baby Arugula,21616,4,233,160,0.686695279
Strawberries,16797,4,462,316,0.683982684
Granny Smith Apples,9387,4,110,75,0.681818182
Organic Kiwi,39928,4,131,89,0.679389313
Organic Broccoli Florets,20995,1,105,71,0.676190476
Organic Grade A Free Range Large Brown Eggs,18465,16,117,79,0.675213675
Organic Green Seedless Grapes,38777,4,83,56,0.674698795
Organic Lemon,5876,4,275,185,0.672727273
Roma Tomato,29487,4,116,78,0.672413793
Cucumber Kirby,49683,4,281,188,0.669039146
Organic Baby Carrots,42265,4,231,154,0.666666667
Orange Bell Pepper,15290,4,132,88,0.666666667
Large Lemon,47626,4,452,301,0.665929204
Uncured Genoa Salami,27344,20,133,88,0.661654135
Broccoli Crown,8424,4,115,76,0.660869565
Seedless Red Grapes,4920,4,223,146,0.65470852
Lemonade,41290,7,81,53,0.654320988
Organic Zucchini,45007,4,291,190,0.652920962
Organic Grape Tomatoes,40706,4,270,175,0.648148148
Organic Russet Potato,19678,4,93,60,0.64516129
Bartlett Pears,41787,4,118,76,0.644067797
Organic Extra Firm Tofu,42585,20,98,63,0.642857143
Shredded Mild Cheddar Cheese,31343,16,81,52,0.641975309
Fresh Cauliflower,27104,4,205,131,0.63902439
"Clementines, Bag",28199,4,121,77,0.636363636
Red Vine Tomato,34969,4,153,97,0.633986928
Grated Parmesan,33731,16,156,98,0.628205128
Organic Blueberries,39275,4,278,174,0.625899281
Organic Garnet Sweet Potato (Yam),48679,4,192,120,0.625
"Organic Red Radish, Bunch",21405,4,93,58,0.623655914
Sharp Cheddar Cheese,16185,16,90,56,0.622222222
Shredded Parmesan,4799,16,111,69,0.621621622
Organic Spring Mix,37687,4,100,62,0.62
Organic Red Bell Pepper,10749,4,183,113,0.617486339
Organic Tomato Cluster,41950,4,196,121,0.617346939
Organic Blackberries,26604,4,193,119,0.616580311
Organic Italian Parsley Bunch,34126,4,182,112,0.615384615
Organic Whole Strawberries,24489,1,104,64,0.615384615
Garlic,34358,4,111,68,0.612612613
Bunched Cilantro,28842,4,136,83,0.610294118
Organic Navel Orange,8174,4,120,73,0.608333333
Organic Coconut Milk,25659,16,84,51,0.607142857
Organic Cilantro,31717,4,206,125,0.606796117
Organic Carrot Bunch,16759,4,94,57,0.606382979
Russet Potato,8193,4,91,55,0.604395604
Organic Black Beans,27156,15,116,70,0.603448276
Green Beans,14992,4,83,50,0.602409639
Yellow Onions,4605,4,211,127,0.601895735
Organic Baby Broccoli,34243,4,105,63,0.6
Total 0% Nonfat Greek Yogurt,46676,16,92,55,0.597826087
Carrots,17794,4,208,124,0.596153846
Blueberries,9076,1,183,109,0.595628415
No Salt Added Black Beans,28849,15,86,51,0.593023256
Organic Red Onion,8518,4,181,107,0.591160221
Red Peppers,24184,4,171,101,0.590643275
Unsalted Butter,42736,16,100,59,0.59
Boneless Skinless Chicken Breasts,25890,12,162,95,0.586419753
Asparagus,46979,4,189,109,0.576719577
Green Bell Pepper,21938,4,162,93,0.574074074
Jalapeno Peppers,20114,4,109,62,0.568807339
Organic Romaine Lettuce,41220,4,120,68,0.566666667
Organic Ginger Root,46667,4,156,87,0.557692308
Frozen Organic Wild Blueberries,17948,1,101,56,0.554455446
Red Onion,44142,4,134,74,0.552238806
Extra Virgin Olive Oil,31506,13,150,71,0.473333333
